latitude,longitude,property_type,room_type,bathrooms,bedrooms,minimum_nights,price
37.76931,-122.43386,Apartment,Entire home/apt,1,1,1,170.0
37.75402,-122.45805,House,Private room,1,1,1,99.0
37.74511,-122.42102,Apartment,Entire home/apt,1,2,30,235.0
37.76669,-122.4525,Apartment,Private room,4,1,32,65.0
37.76487,-122.45183,Apartment,Private room,4,1,32,65.0
37.77525,-122.43637,House,Entire home/apt,1,2,6,875.0
37.75919,-122.42237,Condominium,Private room,1,1,1,139.0
37.76259,-122.40543,House,Private room,1,1,1,135.0
37.75874,-122.41327,House,Entire home/apt,1,2,30,225.0
37.79143,-122.41544,Apartment,Entire home/apt,1,0,30,120.0
37.77187,-122.43859,Apartment,Entire home/apt,1,3,30,177.0
37.77355,-122.42436,Apartment,Entire home/apt,2,3,30,194.0
37.78574,-122.40798,Apartment,Entire home/apt,1,1,30,139.0
37.77019,-122.44594,Apartment,Private room,3,1,32,85.0
37.76894,-122.44778,Apartment,Private room,3,1,32,85.0
37.76075,-122.43032,Apartment,Private room,1,1,3,79.0
37.76203,-122.45455,Townhouse,Entire home/apt,1,2,30,122.0
37.75491,-122.42246,Apartment,Entire home/apt,1,1,3,215.0
37.78647,-122.39072,Condominium,Entire home/apt,2,2,90,450.0
37.74888,-122.42982,Apartment,Entire home/apt,1,0,30,107.0
37.77252,-122.43216,Townhouse,Private room,1,1,2,110.0
37.7958,-122.41533,Loft,Entire home/apt,1,1,30,125.0
37.7648,-122.45251,Apartment,Private room,4,1,32,65.0
37.75963,-122.44143,House,Entire home/apt,1,1,3,155.0
37.74885,-122.43673,Apartment,Entire home/apt,1,1,3,180.0
37.75645,-122.3991,Apartment,Private room,1,1,2,155.0
37.77162,-122.43836,Apartment,Private room,1,1,1,79.0
37.78716,-122.43386,Guest suite,Entire home/apt,1,1,5,195.0
37.74188,-122.43122,House,Private room,1,1,5,150.0
37.77729,-122.43421,Townhouse,Private room,1,1,3,110.0
37.76212,-122.39541,House,Private room,1,0,4,125.0
37.77478,-122.4315,Apartment,Entire home/apt,2,4,2,450.0
37.76298,-122.43136,Apartment,Entire home/apt,1,1,30,125.0
37.76098,-122.42158,Condominium,Private room,1,1,1,199.0
37.73729,-122.41163,House,Entire home/apt,2,2,4,220.0
37.77931,-122.50518,Apartment,Entire home/apt,1,1,2,155.0
37.74025,-122.41259,Apartment,Entire home/apt,1,1,30,150.0
37.76526,-122.3973,House,Entire home/apt,1,1,1,240.0
37.7483,-122.42488,Guest suite,Entire home/apt,1,1,30,107.0
37.74093,-122.42055,Apartment,Entire home/apt,1,0,60,94.0
37.76016,-122.41969,Apartment,Entire home/apt,1,1,30,108.0
37.78255,-122.44844,Apartment,Private room,1,1,30,67.0
37.76125,-122.43335,House,Entire home/apt,1,1,4,159.0
37.74083,-122.41763,House,Private room,2,1,3,127.0
37.75611,-122.41866,Apartment,Entire home/apt,1,2,30,290.0
37.73557,-122.43302,House,Entire home/apt,1,0,30,136.0
37.73356,-122.41851,Apartment,Entire home/apt,1,0,30,85.0
